epochs,accuracy,lossFunction
746,0.97,0.97
747,0.95,0.95
748,0.95,0.95
749,0.96,0.96
750,0.95,0.95
751,0.97,0.97
752,0.96,0.96
753,0.95,0.95
754,0.97,0.97
755,0.96,0.96
756,0.97,0.97
757,0.95,0.95
758,0.96,0.96
759,0.96,0.96
760,0.99,0.99
761,0.98,0.98
762,0.95,0.95
763,0.94,0.94
764,0.99,0.99
765,0.96,0.96
766,0.93,0.93
767,0.97,0.97
768,0.98,0.98
769,0.97,0.97
770,0.98,0.98
771,0.98,0.98
772,0.97,0.97
773,0.99,0.99
774,0.97,0.97
775,0.94,0.94
776,0.96,0.96
777,0.98,0.98
778,0.98,0.98
779,0.94,0.94
780,0.96,0.96
781,0.94,0.94
782,0.98,0.98
783,0.95,0.95
784,0.99,0.99
785,0.98,0.98
786,0.95,0.95
787,0.95,0.95
788,0.94,0.94
789,0.92,0.92
790,0.93,0.93
791,0.97,0.97
792,0.98,0.98
793,0.96,0.96
794,0.97,0.97
795,0.97,0.97
796,0.94,0.94
797,0.96,0.96
798,0.98,0.98
799,0.99,0.99
800,0.96,0.96
801,0.94,0.94
802,0.93,0.93
803,0.98,0.98
804,0.98,0.98
805,0.98,0.98
806,0.98,0.98
807,0.96,0.96
808,0.97,0.97
809,0.96,0.96
810,0.94,0.94
811,0.97,0.97
812,0.97,0.97
813,0.97,0.97
814,0.96,0.96
815,0.96,0.96
816,0.97,0.97
817,0.96,0.96
818,0.95,0.95
819,0.97,0.97
820,0.94,0.94
821,0.96,0.96
822,0.96,0.96
823,0.96,0.96
824,0.95,0.95
825,0.99,0.99
826,0.96,0.96
827,0.94,0.94
828,0.96,0.96
829,0.98,0.98
830,0.96,0.96
831,0.96,0.96
832,0.96,0.96
833,0.95,0.95
834,0.93,0.93
835,0.97,0.97
836,0.97,0.97
837,0.95,0.95
838,0.95,0.95
839,0.98,0.98
840,0.95,0.95
841,0.97,0.97
842,0.95,0.95
843,0.95,0.95
844,0.96,0.96
845,0.96,0.96
846,0.99,0.99
847,0.94,0.94
848,0.97,0.97
849,0.98,0.98
850,0.95,0.95
851,0.98,0.98
852,0.95,0.95
853,0.96,0.96
854,0.97,0.97
855,0.94,0.94
856,0.96,0.96
857,0.96,0.96
858,0.92,0.92
859,0.95,0.95
860,0.95,0.95
861,0.97,0.97
862,0.94,0.94
863,0.97,0.97
864,0.98,0.98
865,0.95,0.95
866,0.98,0.98
867,0.97,0.97
868,0.98,0.98
869,0.96,0.96
870,0.96,0.96
871,0.98,0.98
872,0.97,0.97
873,0.97,0.97
874,0.95,0.95
875,0.96,0.96
876,0.97,0.97
877,0.97,0.97
878,0.92,0.92
879,0.96,0.96
880,0.96,0.96
881,0.95,0.95
882,0.98,0.98
883,0.97,0.97
884,0.98,0.98
885,0.95,0.95
886,0.96,0.96
887,0.98,0.98
888,0.97,0.97
889,0.96,0.96
890,0.95,0.95
891,0.97,0.97
892,0.96,0.96
893,0.98,0.98
894,0.96,0.96
895,0.96,0.96
896,0.95,0.95
897,0.97,0.97
898,0.96,0.96
899,0.98,0.98
900,0.98,0.98
901,0.97,0.97
902,0.98,0.98
903,0.96,0.96
904,0.96,0.96
905,0.93,0.93
906,0.97,0.97
907,0.99,0.99
908,0.99,0.99
909,0.94,0.94
910,0.96,0.96
911,0.97,0.97
912,0.94,0.94
913,0.95,0.95
914,0.97,0.97
915,0.96,0.96
916,0.96,0.96
917,0.97,0.97
918,0.99,0.99
919,0.96,0.96
920,0.96,0.96
921,0.98,0.98
922,0.97,0.97
923,0.96,0.96
924,0.94,0.94
925,0.97,0.97
926,0.96,0.96
927,0.96,0.96
928,0.98,0.98
929,0.97,0.97
930,0.96,0.96
931,0.98,0.98
932,0.92,0.92
933,0.95,0.95
934,0.98,0.98
935,0.98,0.98
936,0.95,0.95
937,0.97,0.97
938,0.97,0.97
939,0.98,0.98
940,0.97,0.97
941,0.97,0.97
942,0.98,0.98
943,0.97,0.97
944,0.96,0.96
945,0.95,0.95
946,0.96,0.96
947,0.98,0.98
948,0.95,0.95
949,0.96,0.96
950,0.96,0.96
951,0.97,0.97
952,0.93,0.93
953,0.97,0.97
954,0.97,0.97
955,0.98,0.98
956,0.97,0.97
957,0.98,0.98
958,0.96,0.96
959,0.97,0.97
960,0.96,0.96
961,0.95,0.95
962,0.96,0.96
963,0.94,0.94
964,0.96,0.96
965,0.94,0.94
966,0.97,0.97
967,0.97,0.97
968,0.96,0.96
969,0.97,0.97
970,0.97,0.97
971,0.99,0.99
972,0.95,0.95
973,0.96,0.96
974,0.96,0.96
975,0.97,0.97
976,0.96,0.96
977,0.97,0.97
978,0.97,0.97
979,0.94,0.94
980,0.94,0.94
981,0.96,0.96
982,0.98,0.98
983,0.96,0.96
984,0.96,0.96
985,0.97,0.97
986,0.98,0.98
987,0.94,0.94
988,0.97,0.97
989,0.97,0.97
990,0.97,0.97
991,0.96,0.96
992,0.99,0.99
993,0.98,0.98
994,0.98,0.98
995,0.96,0.96
996,0.95,0.95
997,0.95,0.95
998,0.97,0.97
999,0.95,0.95
