epoch,accuracy,loss
0,0.5,1.0565295219421387
1,0.5,0.9773240685462952
2,0.5,0.9098377823829651
3,0.49000000953674316,0.8536392450332642
4,0.5,0.8061447143554688
5,0.5099999904632568,0.7678977847099304
6,0.5199999809265137,0.7419411540031433
7,0.5199999809265137,0.7139492630958557
8,0.5299999713897705,0.6963351964950562
9,0.6100000143051147,0.6783697605133057
10,0.6499999761581421,0.6653077602386475
11,0.6600000262260437,0.6534436941146851
12,0.6800000071525574,0.6424326300621033
13,0.7099999785423279,0.6325483918190002
14,0.7300000190734863,0.6226064562797546
15,0.7599999904632568,0.6139039397239685
16,0.75,0.6051551699638367
17,0.7699999809265137,0.5956032872200012
18,0.800000011920929,0.5870506167411804
19,0.800000011920929,0.5786758661270142
20,0.8100000023841858,0.5698489546775818
21,0.8199999928474426,0.5617395639419556
22,0.8299999833106995,0.5531426668167114
23,0.8399999737739563,0.5456088185310364
24,0.8500000238418579,0.5368220806121826
25,0.8600000143051147,0.5290326476097107
26,0.8799999952316284,0.521049439907074
27,0.8899999856948853,0.5132412314414978
28,0.8999999761581421,0.5055068731307983
29,0.8999999761581421,0.4982098340988159
30,0.9300000071525574,0.4906077980995178
31,0.9599999785423279,0.4834844470024109
32,0.9700000286102295,0.47689709067344666
33,0.9700000286102295,0.46893632411956787
34,0.9700000286102295,0.4619063138961792
35,0.9800000190734863,0.45489639043807983
36,0.9800000190734863,0.4485301971435547
37,0.9800000190734863,0.4416877031326294
38,0.9800000190734863,0.43472304940223694
39,0.9900000095367432,0.428577184677124
40,0.9900000095367432,0.42197078466415405
41,0.9900000095367432,0.41557908058166504
42,0.9900000095367432,0.4093501567840576
43,0.9900000095367432,0.4032300114631653
44,0.9900000095367432,0.3975163698196411
45,0.9900000095367432,0.39135661721229553
46,0.9900000095367432,0.38605645298957825
47,0.9900000095367432,0.38003769516944885
48,0.9900000095367432,0.3741612136363983
49,0.9900000095367432,0.3689183294773102
50,0.9900000095367432,0.36341720819473267
51,0.9900000095367432,0.3581281900405884
52,0.9900000095367432,0.3527168929576874
53,0.9900000095367432,0.34784001111984253
54,0.9900000095367432,0.34277549386024475
55,0.9900000095367432,0.3376240134239197
56,0.9900000095367432,0.33274149894714355
57,0.9900000095367432,0.32801541686058044
58,0.9900000095367432,0.32334569096565247
59,0.9900000095367432,0.31868910789489746
60,0.9900000095367432,0.3143889009952545
61,0.9900000095367432,0.30970174074172974
