epoch,accuracy,loss
0,0.2866666666666667,1.0995706621805827
1,0.2866666666666667,1.0991646575927734
2,0.29333333333333333,1.0993367258707682
3,0.2866666666666667,1.0992195049921671
4,0.3333333333333333,1.099149498939514
5,0.31333333333333335,1.0991633033752441
6,0.32,1.0990250094731648
7,0.2733333333333333,1.09997501373291
8,0.31333333333333335,1.0987997754414875
9,0.2866666666666667,1.098988297780355
10,0.24666666666666667,1.1006761948267618
11,0.2866666666666667,1.099760006268819
12,0.3,1.0992599693934122
13,0.2733333333333333,1.0997618611653646
14,0.29333333333333333,1.0993542242050172
15,0.3,1.0992617114384968
16,0.32,1.0993821255366008
17,0.2733333333333333,1.0993026955922445
18,0.2866666666666667,1.0997054624557494
19,0.3333333333333333,1.0990095456441245
20,0.31333333333333335,1.0992348416646323
21,0.3333333333333333,1.0994249979654949
22,0.3333333333333333,1.0990141582489015
23,0.2866666666666667,1.0999736626942953
24,0.3333333333333333,1.0989022382100424
25,0.25333333333333335,1.0995105218887329
26,0.3333333333333333,1.0999814732869466
27,0.3,1.0994194507598878
28,0.25333333333333335,1.1003162527084351
29,0.32666666666666666,1.098802851041158
30,0.3,1.099363252321879
31,0.3333333333333333,1.0996259832382203
32,0.28,1.0991609811782836
33,0.31333333333333335,1.099226009051005
34,0.3333333333333333,1.099400273958842
35,0.3333333333333333,1.099743200937907
36,0.3333333333333333,1.0992934242884318
37,0.30666666666666664,1.0997723213831583
38,0.2866666666666667,1.099239101409912
39,0.3,1.0991413164138795
40,0.3333333333333333,1.0989027611414592
41,0.2866666666666667,1.100897855758667
42,0.3333333333333333,1.0992057275772096
43,0.3333333333333333,1.099674762090047
44,0.3,1.0990845743815105
45,0.28,1.099579423268636
46,0.26666666666666666,1.1002320559819538
47,0.32,1.0992250649134319
48,0.3333333333333333,1.09933509349823
49,0.32,1.099076549212138
50,0.30666666666666664,1.0990851243336996
51,0.31333333333333335,1.0998196697235108
52,0.29333333333333333,1.101085031827291
53,0.26,1.0998711331685385
54,0.3,1.0995604276657105
55,0.3333333333333333,1.0989544693628948
56,0.32,1.0990407578150432
57,0.3333333333333333,1.1004261350631714
58,0.31333333333333335,1.0990585867563885
59,0.32,1.0994142405192058
60,0.32666666666666666,1.0990846236546834
61,0.30666666666666664,1.0989520708719889
62,0.3,1.0997107203801473
63,0.3333333333333333,1.0990314547220865
64,0.30666666666666664,1.099501527150472
65,0.3333333333333333,1.0997338167826334
66,0.2866666666666667,1.099120086034139
67,0.30666666666666664,1.0994817765553793
68,0.2733333333333333,1.099483307202657
69,0.3333333333333333,1.0994477303822836
70,0.28,1.0995884450276692
71,0.3,1.0989797671635946
72,0.3333333333333333,1.1000179068247478
73,0.3333333333333333,1.0993711614608765
74,0.30666666666666664,1.0994080527623495
75,0.32,1.0992176294326783
76,0.32,1.099139512379964
77,0.30666666666666664,1.1012865781784058
78,0.26666666666666666,1.0994396670659383
79,0.29333333333333333,1.099307778676351
80,0.3333333333333333,1.0993267059326173
81,0.32,1.0994229078292848
82,0.3333333333333333,1.099040872255961
83,0.26,1.100260648727417
84,0.3333333333333333,1.0993264691034952
85,0.3333333333333333,1.0991003958384196
86,0.3333333333333333,1.0990939807891846
87,0.3,1.0989096228281656
88,0.29333333333333333,1.0993480141957601
89,0.2733333333333333,1.099302241007487
90,0.32666666666666666,1.0988091357549032
91,0.3333333333333333,1.0988517967859903
92,0.3333333333333333,1.099403518040975
93,0.29333333333333333,1.0999923706054688
94,0.32,1.0994053713480632
95,0.32666666666666666,1.0990480009714763
96,0.24666666666666667,1.099790088335673
97,0.28,1.099048810005188
98,0.3333333333333333,1.0992254718144734
99,0.31333333333333335,1.099828691482544
100,0.29333333333333333,1.0995824162165324
101,0.26,1.1001670249303181
102,0.3,1.0992309840520222
103,0.3333333333333333,1.099243753751119
104,0.3333333333333333,1.0991461785634358
105,0.3333333333333333,1.0988200330734252
106,0.32,1.100265121459961
